column,column_nat,column_type,table_list,table_cnt,type,sample_list
common_setup_time,기본 Setup Time,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.0, 0.0, 0.7]"
common_skip_call_cnt,기본 SKIP CALL CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[2, 3, 9]"
common_source,GPS Current Source,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[3, 4, 6]"
common_speed,GPS Current  Speed,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[3, 5, 9]"
common_start_lat,GPS START 위도,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.5, 0.5, 1.0]"
common_start_lon,GPS START 경도,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.007063, 0.416884, 0.564862]"
common_start_time,기본 START Time,timestamp,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,date,"['CUTadDqXZn', '3T0os63QCly', 'CIBv283T86']"
common_success_cnt,기본 SUCCESS CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[1, 9, 9]"
common_sys_data_transfer_time_down,기본 Sys Data Transfer TimeDown,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.0071, 0.2555, 0.4598]"
common_sys_data_transfer_time_up,기본 Sys Data Transfer TimeUp,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.22, 0.27, 0.35]"
common_timeout_cnt,기본 TIMEOUT CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[3, 5, 9]"
common_traffic_fail_cnt,기본 TRAFFIC FAIL CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[1, 4, 9]"
common_traffic_setup_fail_cnt,기본 TRAFFIC SETUP FAIL CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[5, 5, 6]"
common_ue_release_time,기본 UE Release Time,timestamp,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,date,"['npYfT090h', 'fob9pl8PjYN', 'Q5sbpf8j']"
company_id,Network OS 본부 코드,string,['cl_enb'],1,string,"['rSzYbeSQmn1', '1lEPGwaNq', 'lQte8BpHLY']"
company_id,ONS 본부 ID,string,"['enb_kpi_1m', 'enb_kpi_1m', 'enb_kpi_5g_1m', 'enb_kpi_5g_1m', 'pm_cei_cell_5m', 'pm_cei_cell_5m', 's_cdr_enb_1h', 's_cdr_cel_1h']",8,string,"['zG1Rot3sBJ', 'LIXraizz1R', 'TR5q5eJv']"
company_id,업체 ID,string,"['cell_1d', 'cell_1h', 'cell_1m', 'cell_1w', 'comp_1d', 'comp_1h', 'comp_1m', 'comp_1w', 'enb_1d', 'enb_1h', 'enb_1m', 'enb_1w', 'enb_alias_1d', 'imsi_cell_1d', 'imsi_cell_1h', 'imsi_enb_1d', 'imsi_enb_1h', 'part_1d', 'part_1h', 'part_1m', 'part_1w', 'part_alias_1d', 'cell_mno_1d', 'cell_mno_1h', 'cell_mno_1m', 'cell_mno_1w', 'comp_1d', 'comp_mno_1d', 'comp_mno_1h', 'comp_mno_1m', 'comp_mno_1w', 'enb_alias_1d', 'enb_mno_1d', 'enb_mno_1h', 'enb_mno_1m', 'enb_mno_1w', 'imsi_cell_1d', 'imsi_cell_1h', 'imsi_enb_1d', 'imsi_enb_1h', 'part_1d', 'part_alias_1d', 'part_mno_1d', 'part_mno_1h', 'part_mno_1m', 'part_mno_1w', 'kpi_part_1d']",47,string,"['govUPZ4XT', 'As1cW8CYRrfP', 'xWP5iAySoE']"
company_id,파티션 ONS 본부 ID,string,"['ss_rrh_iiu_conf_ems_pld', 'ss_iiu_conf_ems_pld']",2,string,"['WX2PInVr', 'tYCPlu0oT', 'joSnPMAO']"
